isolate_code,species,region,site,environment,sampling_source,esbl,AM,AMC,AMI,AMO,AMP,AN,C,CF,CFA,CFO,CFP,CFT,CFV,CFX,CFZ,CHL,CN,CPD,CPT,CTF,CTX,CZA,DO,DOX,ENR,FT,GEN,GM,IME,IPM,MAR,MRB,N,NAL,NEO,NIT,NLA,PRA,SXT,TE,TET
EC_PGFTR3C12,Escherichia Coli,Region III-Central Luzon,LOR-SAN GABRIEL,Unknown,Unknown,NEG,S,S,,,,S,S,S,,R,,S,,,,,S,S,S,,S,S,S,,S,S,,S,,S,,S,S,,,,,S,S,S,
EC_PGFGR1C1,Escherichia Coli,Region III-Central Luzon,LOR-SAN GABRIEL,Unknown,Unknown,NEG,R,S,,,,S,S,I,,S,,S,,,,,S,S,S,,S,S,R,,S,I,,S,,S,,S,S,,,,,S,R,R,
EC_PGFGR1C3,Enterobacter Cloacae Complex,Region III-Central Luzon,LOR-SAN GABRIEL,Unknown,Unknown,,,R,,,,S,S,R,,S,,S,,,,,R,S,,,S,S,S,,S,I,,S,,S,,S,S,,,,,S,S,S,
EC_PGFGR1C5,Enterobacter Aerogenes,Region III-Central Luzon,LOR-SAN GABRIEL,Unknown,Unknown,,,R,,,,S,S,R,,I,,S,,,,,R,S,S,,S,S,S,,S,I,,S,,S,,S,S,,,,,S,S,S,
EC_PGFGR1C7,Enterobacter Cloacae Complex,Region III-Central Luzon,LOR-SAN GABRIEL,Unknown,Unknown,,,R,,,,S,S,R,,I,,S,,,,,R,S,,,S,S,S,,S,I,,S,,S,,S,S,,,,,S,S,S,
EC_PGFGR1C9,Klebsiella Pneumoniae Ssp Pneumoniae,Region III-Central Luzon,LOR-SAN GABRIEL,Unknown,Unknown,NEG,R,S,,,,S,S,S,,S,,S,,,,,S,S,S,,S,S,S,,S,I,,S,,S,,S,S,,,,,S,S,S,
EC_PGFGR1C10,Klebsiella Pneumoniae Ssp Pneumoniae,Region III-Central Luzon,LOR-SAN GABRIEL,Unknown,Unknown,NEG,R,S,,,,S,S,S,,S,,S,,,,,S,S,S,,S,S,S,,S,S,,S,,S,,S,S,,,,,S,S,S,
EC_PGFGR1C14,Escherichia Coli,Region III-Central Luzon,LOR-SAN GABRIEL,Unknown,Unknown,NEG,S,S,,,,S,S,S,,S,,S,,,,,S,S,S,,S,S,S,,S,S,,S,,S,,S,S,,,,,S,S,S,
EC_PGFGR1C16,Enterobacter Cloacae Complex,Region III-Central Luzon,LOR-SAN GABRIEL,Unknown,Unknown,,,R,,,,S,S,R,,S,,S,,,,,R,S,,,S,S,S,,S,S,,S,,S,,S,S,,,,,S,S,S,
EC_PGFGR1C17,Enterobacter Aerogenes,Region III-Central Luzon,LOR-SAN GABRIEL,Unknown,Unknown,,,R,,,,S,S,R,,S,,S,,,,,R,S,S,,S,S,S,,S,I,,S,,S,,S,S,,,,,S,S,S,
